,Unnamed: 0,Strike,Contract,Last,Change,Open,High,Low,Previous,Volume,Time,Links
0,0,0,CLY00 (Cash),48.5,2.14,0.0,48.5,48.5,46.36,0,2015-01-16 00:00:00,
1,1,1,CLG15 (Feb '15),48.69,2.44,46.35,48.87,45.95,46.25,142068,2015-01-16 00:00:00,
2,2,2,CLH15 (Mar '15),49.13,2.4,46.73,49.34,46.4,46.73,379914,2015-01-16 00:00:00,
3,3,3,CLJ15 (Apr '15),49.84,2.37,47.52,50.03,47.17,47.47,61354,2015-01-16 00:00:00,
4,4,4,CLK15 (May '15),50.62,2.32,48.12,50.75,47.99,48.3,34078,2015-01-16 00:00:00,
5,5,5,CLM15 (Jun '15),51.37,2.27,49.13,51.54,48.78,49.1,54343,2015-01-16 00:00:00,
6,6,6,CLN15 (Jul '15),52.09,2.24,49.83,52.21,49.59,49.85,12256,2015-01-16 00:00:00,
7,7,7,CLQ15 (Aug '15),52.76,2.19,50.3,52.76,50.25,50.57,4754,2015-01-16 00:00:00,
8,8,8,CLU15 (Sep '15),53.41,2.12,51.6,53.52,51.42,51.29,12867,2015-01-16 00:00:00,
9,9,9,CLV15 (Oct '15),53.99,2.03,52.4,53.99,52.4,51.96,2131,2015-01-16 00:00:00,
10,10,10,CLX15 (Nov '15),54.56,1.94,53.3,54.56,53.14,52.62,1754,2015-01-16 00:00:00,
11,11,11,CLZ15 (Dec '15),55.12,1.85,53.0,55.27,52.9,53.27,37994,2015-01-16 00:00:00,
12,12,12,CLF16 (Jan '16),55.56,1.77,54.1,55.56,53.88,53.79,735,2015-01-16 00:00:00,
13,13,13,CLG16 (Feb '16),56.01,1.71,54.59,56.01,54.59,54.3,373,2015-01-16 00:00:00,
14,14,14,CLH16 (Mar '16),56.45,1.66,54.61,56.45,54.61,54.79,1551,2015-01-16 00:00:00,
15,15,15,CLJ16 (Apr '16),56.89,1.61,0.0,56.89,56.89,55.28,151,2015-01-16 00:00:00,
16,16,16,CLK16 (May '16),57.34,1.56,0.0,57.34,57.34,55.78,170,2015-01-16 00:00:00,
17,17,17,CLM16 (Jun '16),57.82,1.51,56.53,57.88,56.53,56.31,6693,2015-01-16 00:00:00,
18,18,18,CLN16 (Jul '16),58.21,1.46,0.0,58.21,58.21,56.75,134,2015-01-16 00:00:00,
19,19,19,CLQ16 (Aug '16),58.65,1.41,0.0,58.65,58.65,57.24,52,2015-01-16 00:00:00,
20,20,20,CLU16 (Sep '16),59.09,1.36,0.0,59.09,59.09,57.73,172,2015-01-16 00:00:00,
21,21,21,CLV16 (Oct '16),59.54,1.32,0.0,59.54,59.54,58.22,123,2015-01-16 00:00:00,
22,22,22,CLX16 (Nov '16),60.0,1.29,0.0,60.0,60.0,58.71,185,2015-01-16 00:00:00,
23,23,23,CLZ16 (Dec '16),60.44,1.26,59.46,60.56,59.37,59.18,10635,2015-01-16 00:00:00,
24,24,24,CLF17 (Jan '17),60.69,1.23,0.0,60.69,60.69,59.46,43,2015-01-16 00:00:00,
25,25,25,CLG17 (Feb '17),60.97,1.19,0.0,60.97,60.97,59.78,0,2015-01-16 00:00:00,
26,26,26,CLH17 (Mar '17),61.27,1.15,0.0,61.27,61.27,60.12,2,2015-01-16 00:00:00,
27,27,27,CLJ17 (Apr '17),61.59,1.11,0.0,61.59,61.59,60.48,0,2015-01-16 00:00:00,
28,28,28,CLK17 (May '17),61.91,1.07,0.0,61.91,61.91,60.84,0,2015-01-16 00:00:00,
29,29,29,CLM17 (Jun '17),62.25,1.04,62.0,62.25,61.61,61.21,366,2015-01-16 00:00:00,
30,30,30,CLN17 (Jul '17),62.44,1.02,0.0,62.44,62.44,61.42,0,2015-01-16 00:00:00,
31,31,31,CLQ17 (Aug '17),62.67,1.01,0.0,62.67,62.67,61.66,0,2015-01-16 00:00:00,
32,32,32,CLU17 (Sep '17),62.92,1.0,0.0,62.92,62.92,61.92,0,2015-01-16 00:00:00,
33,33,33,CLV17 (Oct '17),63.17,0.98,0.0,63.17,63.17,62.19,0,2015-01-16 00:00:00,
34,34,34,CLX17 (Nov '17),63.44,0.97,0.0,63.44,63.44,62.47,0,2015-01-16 00:00:00,
35,35,35,CLZ17 (Dec '17),63.73,0.96,63.49,63.73,62.87,62.77,1811,2015-01-16 00:00:00,
36,36,36,CLF18 (Jan '18),63.83,0.96,0.0,63.83,63.83,62.87,0,2015-01-16 00:00:00,
37,37,37,CLG18 (Feb '18),63.97,0.98,0.0,63.97,63.97,62.99,0,2015-01-16 00:00:00,
38,38,38,CLH18 (Mar '18),64.13,0.99,0.0,64.13,64.13,63.14,0,2015-01-16 00:00:00,
39,39,39,CLJ18 (Apr '18),64.31,1.0,0.0,64.31,64.31,63.31,0,2015-01-16 00:00:00,
40,40,40,CLK18 (May '18),64.5,1.01,0.0,64.5,64.5,63.49,0,2015-01-16 00:00:00,
41,41,41,CLM18 (Jun '18),64.71,1.02,0.0,64.71,64.71,63.69,3,2015-01-16 00:00:00,
42,42,42,CLN18 (Jul '18),64.82,1.04,0.0,64.82,64.82,63.78,0,2015-01-16 00:00:00,
43,43,43,CLQ18 (Aug '18),64.96,1.04,0.0,64.96,64.96,63.92,0,2015-01-16 00:00:00,
44,44,44,CLU18 (Sep '18),65.13,1.05,0.0,65.13,65.13,64.08,0,2015-01-16 00:00:00,
45,45,45,CLV18 (Oct '18),65.32,1.06,0.0,65.32,65.32,64.26,0,2015-01-16 00:00:00,
46,46,46,CLX18 (Nov '18),65.52,1.06,0.0,65.52,65.52,64.46,0,2015-01-16 00:00:00,
47,47,47,CLZ18 (Dec '18),65.74,1.06,65.53,65.74,65.0,64.68,824,2015-01-16 00:00:00,
48,48,48,CLF19 (Jan '19),65.77,1.07,0.0,65.77,65.77,64.7,0,2015-01-16 00:00:00,
49,49,49,CLG19 (Feb '19),65.82,1.09,0.0,65.82,65.82,64.73,0,2015-01-16 00:00:00,
50,50,50,CLH19 (Mar '19),65.88,1.1,0.0,65.88,65.88,64.78,0,2015-01-16 00:00:00,
51,51,51,CLJ19 (Apr '19),65.96,1.11,0.0,65.96,65.96,64.85,0,2015-01-16 00:00:00,
52,52,52,CLK19 (May '19),66.05,1.13,0.0,66.05,66.05,64.92,0,2015-01-16 00:00:00,
53,53,53,CLM19 (Jun '19),66.15,1.14,0.0,66.15,66.15,65.01,0,2015-01-16 00:00:00,
54,54,54,CLN19 (Jul '19),66.18,1.15,0.0,66.18,66.18,65.03,0,2015-01-16 00:00:00,
55,55,55,CLQ19 (Aug '19),66.27,1.16,0.0,66.27,66.27,65.11,0,2015-01-16 00:00:00,
56,56,56,CLU19 (Sep '19),66.38,1.17,0.0,66.38,66.38,65.21,0,2015-01-16 00:00:00,
57,57,57,CLV19 (Oct '19),66.52,1.19,0.0,66.52,66.52,65.33,0,2015-01-16 00:00:00,
58,58,58,CLX19 (Nov '19),66.67,1.2,0.0,66.67,66.67,65.47,0,2015-01-16 00:00:00,
59,59,59,CLZ19 (Dec '19),66.84,1.21,65.99,66.84,65.99,65.63,26,2015-01-16 00:00:00,
60,60,60,CLF20 (Jan '20),66.87,1.21,0.0,66.87,66.87,65.66,0,2015-01-16 00:00:00,
61,61,61,CLG20 (Feb '20),66.9,1.21,0.0,66.9,66.9,65.69,0,2015-01-16 00:00:00,
62,62,62,CLH20 (Mar '20),66.95,1.21,0.0,66.95,66.95,65.74,0,2015-01-16 00:00:00,
63,63,63,CLJ20 (Apr '20),67.0,1.21,0.0,67.0,67.0,65.79,0,2015-01-16 00:00:00,
64,64,64,CLK20 (May '20),67.06,1.21,0.0,67.06,67.06,65.85,0,2015-01-16 00:00:00,
65,65,65,CLM20 (Jun '20),67.14,1.21,0.0,67.14,67.14,65.93,0,2015-01-16 00:00:00,
66,66,66,CLN20 (Jul '20),67.16,1.21,0.0,67.16,67.16,65.95,0,2015-01-16 00:00:00,
67,67,67,CLQ20 (Aug '20),67.2,1.21,0.0,67.2,67.2,65.99,0,2015-01-16 00:00:00,
68,68,68,CLU20 (Sep '20),67.24,1.21,0.0,67.24,67.24,66.03,0,2015-01-16 00:00:00,
69,69,69,CLV20 (Oct '20),67.29,1.21,0.0,67.29,67.29,66.08,0,2015-01-16 00:00:00,
70,70,70,CLX20 (Nov '20),67.36,1.21,0.0,67.36,67.36,66.15,0,2015-01-16 00:00:00,
71,71,71,CLZ20 (Dec '20),67.44,1.21,0.0,67.44,67.44,66.23,1,2015-01-16 00:00:00,
72,72,72,CLM21 (Jun '21),67.69,1.21,0.0,67.69,67.69,66.48,0,2015-01-16 00:00:00,
73,73,73,CLZ21 (Dec '21),67.94,1.21,67.07,67.94,67.07,66.73,1,2015-01-16 00:00:00,
74,74,74,CLM22 (Jun '22),68.05,1.21,0.0,68.05,68.05,66.84,0,2015-01-16 00:00:00,
75,75,75,CLZ22 (Dec '22),68.16,1.21,0.0,68.16,68.16,66.95,0,2015-01-16 00:00:00,
76,76,76,CLM23 (Jun '23),68.16,1.21,0.0,68.16,68.16,66.95,0,2015-01-16 00:00:00,
77,77,77,CLZ23 (Dec '23),68.16,1.21,0.0,68.16,68.16,66.95,0,2015-01-16 00:00:00,
